"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","997.345264885452","1026.53539677013","1019.76915079121","944.857572813188","935.634019643664","955.604131032963","1261.65083656908","975.604460103277","1012.07825817099","1040.68047098498","1206.11249371987","1270.24670824506","1019.76525534533","1345.03768835094","1292.13675051064","1241.27903911566","1357.68296105836","1364.65582437924","1278.22798626557","1371.14495628443","1642.76905810593","1330.47854563678","1058.91611600405","1061.10828505363","1365.89110656571","1323.43905175891","1252.83430342531","1347.85017936129","1521.55656191039","1382.81036634577","1364.93648683352","949.672902858017","1427.68068273836","1374.69584875263","1186.38351013032","1445.18136071604","1341.01813464101","1318.21434438697","1376.84133492014","1459.72450463287","1442.82023666103","1453.38113497964","1296.0644979004","1394.04972787491","1397.37404203838","1458.73430403602","1481.87590992047","1543.3560143116","1637.57563731245","1768.99079378611","1720.80043321338","1651.98994398041","1536.66838931392","1644.10439852718","1637.055778747","1511.57598732029","1785.79869853918","1730.27606666536","1745.66776019778","1830.00207951439","",
"Afghanistan","AFG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1115.1","1079","985.8","1082.8","1098.9","1012.3","1224.5","1287.5","1310.4","1105.1","976.2","1006.9","1279.6","1301.9","1316.4","1362.4","1224","1291.9","1323.7","1349","1338.3","1330.2","1355.6","1334.1","1331.7","1314","1359.8","1285.7","1237.6","1200.6","1160.4","1097.8","1132.9","1140.4","1214.5","1204.4","1348.8","1388","1285.7","806.3","1006.7","1669.8","1458","1334.8","1790.4","1551.7","1915.3","1455.4","2040.7","2011.1","1659.9","2029.6","2048.5","2017.5","2132.2","1980.4","2023.2","2162.6","2113.4","1979.9","",
"Africa Western and Central","AFW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","675.35481551441","702.24445589708","698.032525671718","691.134187251496","658.343442379971","643.872507614384","684.305250773169","666.783772840426","654.672297468817","691.007034334832","692.217957714029","639.250116264092","643.44296178791","829.809827074455","818.881204221624","691.397061306786","744.443095744951","777.074923953923","788.769830164126","806.51835384263","947.038375772685","928.13878169238","884.168967757578","879.971652157499","958.694722293144","950.656788493824","944.714112891064","1005.191079178","964.3806306642","875.010967556294","918.348597283187","907.545475871308","928.994807488005","902.460918595781","962.04958068644","987.244047482123","966.849056602243","998.367433200301","1032.23222487457","971.626509190698","1001.9982599154","1011.11302537205","1075.36912748633","1089.55636870271","1143.37462605136","1180.55946187607","1107.14070574467","1231.7583422818","1192.05415030239","1186.05557925335","1063.10061002016","1189.86200136236","1113.77139081629","1193.81979549539","1238.3476368994","1234.51970450197","1202.69448412308","1247.20446570773","1280.32708238769","1295.73815871598","",
"Angola","AGO","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","828","830.3","798.4","875.8","932","824.3","814.6","805.7","898.9","911.3","805.7","780.3","764","712.6","773.9","775.5","603.1","667.1","509.2","617.9","451.1","450.6","484.6","466","449.1","379.8","381.2","332.4","277.4","320.9","417.5","397.1","268","298.4","401.5","653.1","567.4","701.6","620.4","564.4","585.4","627.2","646.1","491.7","583.4","445.9","464.3","652.7","571.4","629.3","662.4","552","814.4","888.2","982.4","865.4","806.2","939.1","952.8","906.6","",
"Albania","ALB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","845.2","941.8","982.3","1023.3","1037.3","1318.6","1464.1","1553.7","1639.8","1646.1","1753.6","1768.7","1843","1934.5","2028.9","2445.1","2550.1","2620.2","2634.8","2364","2500.6","2715.2","3046","2966.3","2900.6","2990.3","2965.6","2875","2961.7","2794.4","2071.9","2158.6","2685","2460.9","2841.5","2450.9","2833.3","2872.1","2798.1","3175.1","3030.8","3291.9","3185.7","3466.3","3462.1","3602.6","3728.4","4081.2","4315.3","4761.8","4750.7","4883.8","4949.8","4892.6","4873.8","4716.4","4813","4840.5","5038.2","5209.2","",
"Andorra","AND","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","782.793100988119","1139.94802310594","1058.28100478674","998.2131503349","1048.70882463217","914.765104886598","1023.38567147466","1247.8515327411","1124.99041541182","1047.04328937798","1180.14751690015","1302.40135976481","988.479092875378","1163.9784938931","1158.0557524009","1216.30221063477","969.898887675939","1150.78958885077","1077.5898235568","1277.71531520864","1165.9415543577","1273.07303166454","1152.10643814294","1185.78142081434","1370.52193599428","1526.89066777395","1381.03276536525","1766.80012256712","1471.58267406742","1577.80904119481","1784.78499642349","1598.71676569797","1646.66827600469","1937.82870694628","1738.88212386478","2020.65006233055","1859.92924366321","1850.66586854506","1845.46958405914","1766.19357560297","2010.62320133352","2290.24915806913","2321.06919449373","2250.00734619622","2092.24582916931","2452.06972193866","2104.57357627762","2295.86975681613","2617.27215636911","2242.41693272306","2525.00884625522","2032.53679516372","1967.4121964883","1798.20600539535","2083.47954122197","1704.48403100619","1885.99148772463","1791.62937265739","1951.20658633583","1815.9651332058","",
"United Arab Emirates","ARE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","1166.7","1466.7","2242.9","2409.6","2018.7","2000","1417.8","1613.4","1340.2","1185.7","1106.3","808.3","1924.7","2216.5","3494.5","4367.9","4163.1","6414.5","6474","6502.1","15894","17732.5","17148.3","17476.2","17514.4","18115.6","21000","20463","20158.9","20915.1","21379.3","22224.3","24824.8","18027","24031.4","12112.2","36761.9","14254.1","35190.5","33452.5","30777.4","20841.8","23831.8","26022.8","",
"Argentina","ARG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1410.7","1604.9","1511.2","1695.4","1403.2","1557","1606.4","1313.3","1554.7","1775.3","1783.5","1609.5","2041.4","2046.2","1955.9","1907.2","2134.9","2424.3","2252.2","1874.1","2425","2442.8","2330.1","2581.5","2439.5","2582.2","2382.6","2527.9","2129.4","2250.8","2433.1","2928.6","3054.5","2759.8","2900.2","2715.1","3010.7","3812","3335.6","3461.8","3398.6","3275.7","3308.7","3658.8","4075.8","3707.6","4294","4116.5","3249.3","4876.2","4596.3","4162.4","4795.6","4827.3","4779.1","5203.4","5404.5","4671","5523.7","5212.6","",
