"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1064201759","37.2900875486","39.2085549215","39.3733556275","41.9538802466","43.1053902826","43.8391869851","44.5867836876","45.3343803901","46.0980770925","47.3586350072","48.7226717933","55.6586436446","57.0238523517","58.2059977515","59.3459931509","59.906224135","60.4238005733","61.2343292846","61.7282587534","62.361968904","62.7966183403","90.8977393676","90.2067603949","92.6899352682","95.1563601417","96.6592785865","96.930950391","97.8502021955","97.887074","","",
"Afghanistan","AFG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","10.7","11.9842583333","13.2685166667","14.552775","15.8370333333","17.1212916667","18.40555","19.6898083333","20.9740666667","22.258325","23.5425833333","24.8268416667","26.1111","25.5811818182","25.0512636364","24.5213454545","23.9904734266","23.4603167832","22.9301601399","22.4000034965","21.8698468531","21.3396902098","20.8095335664","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","20.282","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.841479804","15.1659661675","16.0193611283","16.8675253201","17.6399961786","18.4275470367","19.3487023396","20.2698576424","21.1792746667","22.0887301526","22.9528453822","23.9041093298","24.7825185764","25.6592309904","26.6167123787","27.3464919814","27.7606686855","28.1748453894","28.6570220935","28.9418827644","29.2050147801","29.4694821547","29.7340552488","29.9986283429","30.086001437","30.1758967535","30.2550087365","30.3353207196","30.6641993693","30.741378019","30.6147878277","32.040511","32.2281078","","",
"Angola","AGO","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","0.4923384615","0.5046769231","0.5170153846","0.5293538462","0.5416923077","0.5540307692","0.5663692308","0.5787076923","0.5910461538","0.6033846154","0.6157230769","0.6280615385","0.6404","0.65346","0.66652","0.67958","0.69264","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","0.7057","","",
"Albania","ALB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","1.19178","1.18356","1.17534","1.16712","1.1589","1.29468","1.43046","1.56624","1.70202","1.8378","1.75046","1.66312","1.57578","1.48844","1.4011","1.27242","1.24774","1.22306","1.19838","1.1737","1.14902","1.12434","1.09966","1.07498","0.92","1.092","1.091","0.958","1.131","","",
"Andorra","AND","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208.0497550116","204.9266454545","208.2387","230.6027","221.87522","244.90996","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","0.9","0.9805333333","1.0610666667","1.1416","1.2221333333","1.3026666667","1.3832","1.4637333333","1.5442666667","1.6248","1.5423333333","1.5784666667","1.6146","1.6507333333","1.6868666667","1.723","1.88222","2.04144","2.20066","2.35988","2.3338","2.2918933333","2.2499866667","2.20808","2.50404","2.8","2.7844545455","2.7689090909","2.7533636364","2.7378181818","2.7222727273","2.7067272727","2.6911818182","2.6756363636","2.6600909091","2.6445454545","2.629","2.52","2.572","2.508","","",
"Argentina","ARG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","27.6","27.6515421053","27.7030842105","27.7546263158","27.8061684211","27.8577105263","27.9092526316","27.9607947368","28.0126315789","28.0638789474","28.1157894737","28.1669631579","28.2185052632","28.2705263158","28.3214052632","28.3731315789","28.4246736842","28.4762157895","28.5277578947","28.5793","28.936785","29.29427","29.651755","30.00924","30.366725","31.0323227273","31.6979204545","32.3635181818","33.0291159091","33.6947136364","34.3603113636","35.0259090909","35.6915068182","36.3571045455","37.0227022727","37.69","37.69","37.69","37.69","37.69","37.69","37.69","37.69","37.69","","",
"Armenia","ARM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.198","2.983","2.531","2.277","1.85","1.994","1.966","1.871","1.726","1.732","1.976","2.503","2.771","2.827","3.012","2.873","2.464","2.126","2.438","2.941","2.955","2.86","3.272","3.182","2.865","2.714","2.865","","",
"American Samoa","ASM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0017","0.0019266667","0.0021533333","0.00238","0.0026066667","0.0028333333","0.00306","0.0032866667","0.0035133333","0.00374","0.0039666667","0.0041933333","0.00442","0.0046466667","0.0048733333","0.0051","0.005","0.0049","0.0048","0.0047","0.0046","0.0045","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","0.0044","","",
