"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76390981674194","4.39554023742676","4.71468019485474","4.73986005783081","4.92364978790283","","4.40848016738892","4.68132019042969","","4.81504011154175","4.9992299079895","5.9247899055481","6.92926979064941","6.11913013458252","6.54905986785889","6.44295978546143","5.85128021240234","5.88826990127563","5.4913501739502","","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","","","","","","","","","","","","","","4.99490976333618","3.76910996437073","4.57257986068725","","","3.74496006965637","3.81897008419037","3.7844899892807","","3.84499514102936","3.58538007736206","4.49659013748169","4.38598012924194","4.67736506462097","4.7449197769165","4.83983993530273","4.81508517265319","4.82187509536743","4.86255502700805","4.83458995819092","4.60008430480957","4.60817003250122","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16035997867584","1.11717998981476","1.42788004875183","","1.30332005023956","","","","1.7398099899292","1.84092998504639","1.90917003154755","1.72997999191284","","","","","","","","","","","","","","","","","","","","","","","2.5699999332428","2.90000009536743","2.84999990463257","3.50999999046326","3.73000001907349","3.4794499874115","3.4620099067688","3.3199999332428","3.45445990562439","3.69521999359131","3.2558000087738","3.5119800567627","3.37331008911133","3.19979000091553","3.21377992630005","2.86085939407349","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51417005062103","2.5650200843811","2.42614006996155","2.59414494037628","2.75125002861023","2.68110001087189","2.72683000564575","2.56340003013611","2.94639003276825","2.72311997413635","3.08927011489868","2.96306002140045","2.66890001296997","2.80563497543335","2.94020998477936","2.66667008399963","3.05729007720947","2.78058004379273","3.43021988868713","3.0132200717926","3.02303993701935","3.17388510704041","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.09021997451782","5.72269010543823","5.05850982666016","","","","","","","","","","","2.56712007522583","","2.60753011703491","","","","","2.12011003494263","2.28146004676819","2.92000007629395","2.69000005722046","3.21000003814697","3.42131996154785","3.02999997138977","3.08190989494324","4.4389500617981","3.12292003631592","3.48690009117126","2.75494003295898","2.46688008308411","2.04469990730286","1.92745995521545","2.41519999504089","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44697999954224","3.81464004516602","3.08350992202759","3.37947010993958","3.53697991371155","3.59293007850647","3.4301700592041","3.45869994163513","3.11779999732971","3.13823008537292","3.22751998901367","3.28154993057251","3.1914598941803","3.27592992782593","","","3.41307497024536","3.07999992370605","2.9300000667572","3.53929996490479","3.04999995231628","3.43796992301941","3.96209001541138","3.61173009872437","3.15490126609802","3.91665005683899","3.09999990463257","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71327996253967","","","","","1.65971004962921","","1.54411995410919","1.64497005939484","2.24489998817444","2.10469007492065","2.87392997741699","3.14292001724243","2.97662997245789","2.98706007003784","","2.50616002082825","3.07420992851257","3.28034996986389","3.23707008361816","3.21708989143372","3.2467200756073","3.15060997009277","","2.88000011444092",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67072010040283","","4.00178003311157","","4.22755002975464","3.58999991416931","3.98111164569855","3.41000008583069","3.62872004508972","3.97692012786866","3.79999995231628","3.9308500289917","4.38000011444091","3.74855995178223","4.417484998703","2.98847007751465","3.67000007629395","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.62607264518738","1.30518019199371","1.44603025913239","1.53731870651245","1.70920169353485","1.73710942268372","1.63756906986237","1.51074528694153","3.86736989021301","3.87986993789673","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.4580899477005","","1.93620002269745","1.78051996231079","1.92351996898651","1.84360003471375","1.16563999652863","1.71984004974365","1.93554997444153","2.4002799987793","2.60715007781982","","1.59786999225616","1.61749994754791","2.56972002983093","1.36186003684998","1.261549949646","1.28229999542236","","1.04612004756927","1.06737995147705","","","","","","3.73198008537292","","4.03986978530884","4.52167987823486","4.58030986785889","4.833740234375","4.01734018325806","3.53504991531372","3.48652005195618","3.86000990867615","4.12821006774902","4.46260023117065","4.84440994262695","5.53105020523071","5.01971006393433","5.29062986373901","5.34582996368408","5.43661022186279","5.36144018173218","5.77611017227173","5.54548978805542","5.45431995391846","4.87773990631104","4.72417020797729","5.01604986190796","",
"Armenia","ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843003749847","","","2.23518991470337","2.77273011207581","2.46943998336792","2.13504004478455","2.1450400352478","2.48673009872437","2.71202993392944","2.71577000617981","3.01893997192383","3.17272996902466","3.84079003334045","3.24900007247925","3.14385008811951","2.77248001098633","2.65018010139465","2.24724006652832","2.80591011047363","2.75812005996704","2.70759010314941","2.25587010383606","2.56185007095337","2.70567011833191","2.77138996124268",
"American Samoa","ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7170495986938","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75396990776062","","","3.39525008201599","","","","","","","2.50888991355896","","","2.48524761199951","2.60647583007813","2.70147109031677","2.84073400497437","2.43079996109009","2.44847989082336","2.64407992362976","2.83134007453918","3.45311999320984","3.8362500667572",
"Australia","AUS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","5.99878978729248","5.88711023330688","5.64446020126343","","5.4701099395752","5.36276006698608","","5.39561986923218","5.27070999145508","5.06071996688843","4.90948009490967","4.74096012115479","4.66854000091553","4.7863302230835","4.68387985229492","5.50633001327515","5.24494981765747","5.13413000106812","5.23099994659424","","","","4.88731002807617","","","","","4.89851999282837","4.74065017700195","4.65621995925903","4.63278007507324","5.08451986312866","5.54303979873657","5.06995010375977","4.86787986755371","5.22923994064331","5.1646900177002","5.31583976745605","5.28623008728027","5.13680982589722","5.12344980239868","5.13531017303467","6.09999990463257","",
