"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1830.521","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1955.321","1985.321","1985.321","1985.321","1985.321","1985.321","1985.321","1985.321","1985.321","","",
"Afghanistan","AFG","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","47.15","","",
"Africa Western and Central","AFW","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","1898.44","","",
"Angola","AGO","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","148","","",
"Albania","ALB","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","","",
"Andorra","AND","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","0.3156","","",
"Arab World","ARB","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","108.778","112.778","112.778","112.778","112.778","112.778","112.778","112.778","112.778","","",
"United Arab Emirates","ARE","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","","",
"Argentina","ARG","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","","",
